Item number,W,L,H,
PXA2823523853001,282,352,385,
PXA2255751253001,225,575,125,
PXA2255751253001,225,575,125,
PXA2255751253001,225,575,125,
PXA1902752303022,190,275,230,
PXA1601101813001,160,110,181,
PXA1901901685001,190,190,168,
PXA3403403205009,340,340,320,
PXA3923923213001,392,392,321,
PXA2501702503001,250,170,250,
PXA3052052123001,305,205,212,
PXA3052052123001,305,205,212,
PXA3052052183001,305,205,218,
PXA3102102203023,310,205,220,
PXA3102102203023,310,210,220,
PXA3102102203024,310,210,220,
PXA3102102203024,310,210,220,
PXA3102102203024,310,210,220,
PXA1552102203001,155,210,220,
PXA1652072573001,165,207,257,
PXA5355351205028,535,535,120,
PXA1601603325001,160,160,332,
PXA410710150C000,410,710,150,
PXA2303183563001,230,318,356,
PXA2703353205002,270,335,320,
PXA3145652005001,314,565.1,200,
PXA3653651653001,365,365,165,
PXA3653651653001,365,365,165,
PXA1853601355001,185,360,135,
PXA2552551213001,255,255,121,
PXA2582581603001,258,258,160,
PXA3404101905016,340,410,190,
